Ref,Val,Package,PosX,PosY,Rot,Side
"J7","Conn_01x12_Pin","PinHeader_1x12_P2.54mm_Vertical",136.075000,-117.200000,90.000000,top
"V1","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",163.000000,-82.000000,180.000000,top
